Biznameclick,Biznameclick_link,Reviewcount,Business,Categorylisttext,Secondary 1,Secondary 2,Phonenumber
Mendocino Farms,https://www.yelp.com/biz/mendocino-farms-costa-mesa,495,$$,Sandwiches-  Salad,450 E 17th St,Costa Mesa,(949) 548-2500
Pie-Not The Aussie Style Bakery,https://www.yelp.com/biz/pie-not-the-aussie-style-bakery-costa-mesa,727,$,Bakeries-  Australian-  Coffee & Tea,270 E 17th St,Costa Mesa,(949) 650-7437
Habana,https://www.yelp.com/biz/habana-costa-mesa,2527,$$,Cuban-  Latin American-  Bars,2930 Bristol St,Costa Mesa,(714) 556-0176
The Capital Grille,https://www.yelp.com/biz/the-capital-grille-costa-mesa,1158,$$$,Steakhouses-  Seafood-  Wine Bars,3333 Bristol St,Costa Mesa,(714) 432-1140
Bangkok Corner,https://www.yelp.com/biz/bangkok-corner-costa-mesa,227,$,Thai,2360 Newport Blvd,Costa Mesa,(949) 548-8366
Santa Monica Seafood,https://www.yelp.com/biz/santa-monica-seafood-costa-mesa,546,$$,Seafood Markets-  Seafood,154 E 17th St,Costa Mesa,(949) 574-0274
SOS Wild and Crazy Taco Night,https://www.yelp.com/biz/sos-wild-and-crazy-taco-night-costa-mesa,23,$$$$,Mexican,1550 Superior Ave,Costa Mesa,na
Ms Alice,https://www.yelp.com/biz/ms-alice-costa-mesa,51,$$,Tapas/Small Plates-  Cocktail Bars-  Supper Clubs,841 Baker St,Costa Mesa,(949) 630-5688
Ramen Zetton,https://www.yelp.com/biz/ramen-zetton-costa-mesa,593,$,Ramen-  Noodles,735 Baker St,Costa Mesa,(714) 241-1625
Pasta Connection,https://www.yelp.com/biz/pasta-connection-costa-mesa,252,$$,Italian-  Argentine-  Breakfast & Brunch,1969 Harbor Blvd,Costa Mesa,(949) 646-3484
Aoki No Chuuka,https://www.yelp.com/biz/aoki-no-chuuka-costa-mesa,97,$,Ramen-  Asian Fusion-  Noodles,1525 Mesa Verde Dr E,Costa Mesa,(714) 545-0600
Ikko Japanese Cuisine,https://www.yelp.com/biz/ikko-japanese-cuisine-costa-mesa,793,$$$,Japanese-  Sushi Bars,735 Baker St,Costa Mesa,(714) 556-7822
Taco Maria,https://www.yelp.com/biz/taco-maria-costa-mesa,545,$$,Mexican,3313 Hyland Ave,Costa Mesa,(714) 538-8444
Mastro’s Steakhouse,https://www.yelp.com/biz/mastros-steakhouse-costa-mesa-2,2559,$$$$,Steakhouses,633 Anton Blvd,Costa Mesa,(714) 546-7405
Irvine Ranch Market,https://www.yelp.com/biz/irvine-ranch-market-costa-mesa,162,$$,Grocery-  Meat Shops-  Delis,2651 Irvine Ave,Costa Mesa,(949) 408-3388
In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-costa-mesa-2,239,$,Burgers-  Fast Food,3211 Harbor Blvd,Costa Mesa,(800) 786-1000
Yokohama Sushi & Grill,https://www.yelp.com/biz/yokohama-sushi-and-grill-costa-mesa-3,39,$$,Sushi Bars-  Japanese,270 Bristol St,Costa Mesa,(714) 557-0906
Sushi Teri,https://www.yelp.com/biz/sushi-teri-costa-mesa,150,$,Japanese-  Sushi Bars,1450 Baker St,Costa Mesa,(714) 957-0051
Outpost Kitchen,https://www.yelp.com/biz/outpost-kitchen-costa-mesa,236,$$,Coffee & Tea-  Breakfast & Brunch-  American (New),1792 Monrovia Ave,Costa Mesa,(949) 873-5123
Miyabi-Tei,https://www.yelp.com/biz/miyabi-tei-costa-mesa,444,$,Japanese,665 Paularino Ave,Costa Mesa,(714) 754-7044
Super Pollo,https://www.yelp.com/biz/super-pollo-costa-mesa,340,$,Mexican,1731 Superior Ave,Costa Mesa,(949) 642-7574
Tapioca Express,https://www.yelp.com/biz/tapioca-express-costa-mesa-3,345,$,Coffee & Tea-  Juice Bars & Smoothies-  Taiwanese,3033 Bristol St,Costa Mesa,(714) 549-0811
Angotei,https://www.yelp.com/biz/angotei-costa-mesa,521,$$,Sushi Bars-  Japanese,675 Paularino Ave,Costa Mesa,(714) 557-2696
Hashigo Korean Kitchen,https://www.yelp.com/biz/hashigo-korean-kitchen-costa-mesa,1038,$$,Korean-  Asian Fusion,3033 Bristol St,Costa Mesa,(714) 557-4911
Wine Lab,https://www.yelp.com/biz/wine-lab-costa-mesa,300,$$,Wine Bars-  Tapas/Small Plates-  Beer Bar,2937 Bristol St,Costa Mesa,(714) 850-1780
Caliente Southwest Grill,https://www.yelp.com/biz/caliente-southwest-grill-costa-mesa,330,$,Mexican,271 E 17th St,Costa Mesa,(949) 515-0909
Globe European Delicatessen,https://www.yelp.com/biz/globe-european-delicatessen-costa-mesa,99,$,Delis-  Sandwiches-  Imported Food,1928 Harbor Blvd,Costa Mesa,(949) 642-3784
Jerry’s Wood-Fired Dogs,https://www.yelp.com/biz/jerrys-wood-fired-dogs-costa-mesa,164,$,Hot Dogs-  Burgers-  Breakfast & Brunch,1510 Adams Ave,Costa Mesa,(714) 546-4910
Il Dolce Pizzeria,https://www.yelp.com/biz/il-dolce-pizzeria-costa-mesa-2,302,$$,Italian-  Pizza-  Gluten-Free,1902 Harbor Blvd,Costa Mesa,(949) 200-9107
17th Street Deli,https://www.yelp.com/biz/17th-street-deli-costa-mesa,252,$,Sandwiches-  Delis,369 E 17th St,Costa Mesa,(949) 642-2377
Cafe Rose Express,https://www.yelp.com/biz/cafe-rose-express-costa-mesa,171,$,American (Traditional),1570 Scenic Ave,Costa Mesa,(949) 478-8777
Deli & Bagel Cafe,https://www.yelp.com/biz/deli-and-bagel-cafe-costa-mesa,139,$,Bagels-  Coffee & Tea-  Delis,2947 Harbor Blvd,Costa Mesa,(714) 435-0333
Rick’s Atomic Cafe,https://www.yelp.com/biz/ricks-atomic-cafe-costa-mesa,137,$,Cafes-  Breakfast & Brunch-  American (Traditional),3100 Airway Ave,Costa Mesa,(714) 825-0570
The Wayfarer,https://www.yelp.com/biz/the-wayfarer-costa-mesa-3,162,$$,Bars-  Music Venues-  American (Traditional),843 W 19th St,Costa Mesa,(949) 764-0039
SOCIAL,https://www.yelp.com/biz/social-costa-mesa-2,595,$$,American (New)-  Gastropubs,512 W 19th St,Costa Mesa,(949) 642-2425
Rooster Café,https://www.yelp.com/biz/rooster-caf%C3%A9-costa-mesa-3,1171,$,Sandwiches-  Breakfast & Brunch,750 St Clair St,Costa Mesa,(714) 754-1944
Memphis Cafe,https://www.yelp.com/biz/memphis-cafe-costa-mesa-3,1196,$$,Southern-  American (New)-  Breakfast & Brunch,2920 Bristol St,Costa Mesa,(714) 432-7685
Le Cafe,https://www.yelp.com/biz/le-cafe-costa-mesa,78,$,Sandwiches-  American (New),3070 Bristol St,Costa Mesa,(714) 556-1949
Seasons 52,https://www.yelp.com/biz/seasons-52-costa-mesa,1956,$$,American (New)-  Wine Bars-  Seafood,3333 Bristol St Ste 2802,Costa Mesa,(714) 437-5252
Chixy Natural,https://www.yelp.com/biz/chixy-natural-costa-mesa,306,$,Barbeque,488 E 17th St,Costa Mesa,(949) 631-3449
Onotria Wine Country Cuisine,https://www.yelp.com/biz/onotria-wine-country-cuisine-costa-mesa,264,$$$,Italian-  Pizza-  Wine Bars,2831 Bristol St,Costa Mesa,(714) 641-5952
Takaya Yakitori Izakaya,https://www.yelp.com/biz/takaya-yakitori-izakaya-costa-mesa,167,$$,Izakaya,891 Baker St,Costa Mesa,(714) 557-8715
Dick Church’s Restaurant,https://www.yelp.com/biz/dick-churchs-restaurant-costa-mesa,187,$,Diners-  Breakfast & Brunch-  American (Traditional),2698 Newport Blvd,Costa Mesa,(949) 646-7762
The Kickin’ Crab,https://www.yelp.com/biz/the-kickin-crab-costa-mesa,182,$$,Cajun/Creole-  Seafood,1534 Adams Ave,Costa Mesa,(714) 760-4909
Golden Dragon,https://www.yelp.com/biz/golden-dragon-costa-mesa-2,350,$$,Chinese-  Asian Fusion-  Seafood,2023 Harbor Blvd,Costa Mesa,(949) 642-7162
Valentino’s Pizza,https://www.yelp.com/biz/valentinos-pizza-costa-mesa,56,$,Pizza,2263 Fairview Rd,Costa Mesa,(949) 574-9900
Great Mex,https://www.yelp.com/biz/great-mex-costa-mesa,215,$,Mexican,2360 Newport Blvd,Costa Mesa,(949) 645-1884
Raising Cane’s Chicken Fingers,https://www.yelp.com/biz/raising-canes-chicken-fingers-costa-mesa-2,1100,$,Fast Food-  Chicken Wings,3150 Harbor Blvd,Costa Mesa,(714) 540-1477
Yard House,https://www.yelp.com/biz/yard-house-costa-mesa,659,$$,American (New)-  Bars-  Vegetarian,1875 Newport Blvd,Costa Mesa,(949) 642-0090
Maki Yaki,https://www.yelp.com/biz/maki-yaki-costa-mesa,66,$$,Japanese,1093 Baker St,Costa Mesa,(714) 966-2099
Kappo Sui,https://www.yelp.com/biz/kappo-sui-costa-mesa,108,$$$,Japanese,20070 Santa Ana Ave,Costa Mesa,(714) 429-0141
Hakata Ikkousha,https://www.yelp.com/biz/hakata-ikkousha-costa-mesa-3,471,$$,Ramen-  Noodles,3033 Bristol St,Costa Mesa,(714) 540-2066
Ruby’s Sandwich Saloon,https://www.yelp.com/biz/rubys-sandwich-saloon-costa-mesa,120,$,Sandwiches,1673 Irvine Ave,Costa Mesa,(949) 645-1100
Full Moon Sushi,https://www.yelp.com/biz/full-moon-sushi-costa-mesa-2,361,$$,Sushi Bars-  Japanese,1420 Baker St,Costa Mesa,(714) 957-0700
Pho Lantern Cafe,https://www.yelp.com/biz/pho-lantern-cafe-costa-mesa-17,458,$,Vietnamese-  Seafood-  Cafes,103 E 17th St,Costa Mesa,(949) 515-9090
Shuck Oyster Bar,https://www.yelp.com/biz/shuck-oyster-bar-costa-mesa,706,$$,Seafood-  Salad-  Soup,3313 Hyland Ave,Costa Mesa,(949) 420-0478
Side Street Café,https://www.yelp.com/biz/side-street-caf%C3%A9-costa-mesa-2,742,$,Breakfast & Brunch,1799 Newport Blvd,Costa Mesa,(949) 650-1986
Hamamori Restaurant & Sushi Bar,https://www.yelp.com/biz/hamamori-restaurant-and-sushi-bar-costa-mesa,380,$$$,Sushi Bars-  Japanese,3333 Bear St,Costa Mesa,(714) 850-0880
Hank’s Mexican Food,https://www.yelp.com/biz/hanks-mexican-food-costa-mesa,171,$,Mexican,1087 Baker St,Costa Mesa,(714) 641-9222
La Vida Cantina,https://www.yelp.com/biz/la-vida-cantina-costa-mesa,708,$$,Mexican-  Bars,1870 Harbor Blvd,Costa Mesa,(949) 612-2349
Burger Lounge,https://www.yelp.com/biz/burger-lounge-costa-mesa,256,$$,Burgers,279 East 17th St,Costa Mesa,(949) 764-1780
Nimmarn Thai Cuisine,https://www.yelp.com/biz/nimmarn-thai-cuisine-costa-mesa-4,306,$$,Thai,1450 Baker St,Costa Mesa,(714) 641-0500
Le Chateau Garden Bistro,https://www.yelp.com/biz/le-chateau-garden-bistro-costa-mesa,69,$$,American (New)-  French-  Breakfast & Brunch,325 Bristol St,Costa Mesa,(714) 549-0300
OC Night Market,https://www.yelp.com/biz/oc-night-market-costa-mesa-2,319,$$,Street Vendors-  Festivals-  Food Stands,88 Fair Dr,Costa Mesa,(626) 765-5066
Bonchon Chicken,https://www.yelp.com/biz/bonchon-chicken-costa-mesa,195,$$,Chicken Wings-  Korean-  Asian Fusion,1534 Adams Ave,Costa Mesa,(714) 852-3734
Ecco Pizzeria & Bar,https://www.yelp.com/biz/ecco-pizzeria-and-bar-costa-mesa,728,$$,Italian-  Breakfast & Brunch-  Pizza,2937 Bristol St,Costa Mesa,(714) 444-3226
Umami Burger - Costa Mesa,https://www.yelp.com/biz/umami-burger-costa-mesa-costa-mesa,1573,$$,Burgers-  American (New)-  Gastropubs,2981 Bristol St,Costa Mesa,(714) 957-8626
Beach Hut Deli,https://www.yelp.com/biz/beach-hut-deli-costa-mesa,150,$$,Delis-  Sandwiches,488 E 17th St,Costa Mesa,(949) 336-0260
Black Knight,https://www.yelp.com/biz/black-knight-costa-mesa,269,$$,Gastropubs-  Breakfast & Brunch-  Bars,1870 Harbor Blvd,Costa Mesa,(949) 646-2401
Capital Noodle Bar,https://www.yelp.com/biz/capital-noodle-bar-costa-mesa,252,$$,Chinese-  Noodles,3033 Bristol St,Costa Mesa,(657) 231-6120
Rubio’s Coastal Grill,https://www.yelp.com/biz/rubios-coastal-grill-costa-mesa,106,$,Mexican-  Seafood,1835 Newport Blvd,Costa Mesa,(949) 646-6992
Temakira,https://www.yelp.com/biz/temakira-costa-mesa,200,$$,Sushi Bars-  Japanese-  Beer Bar,259 E 17th St,Costa Mesa,(949) 650-0305
Tummy Stuffer,https://www.yelp.com/biz/tummy-stuffer-costa-mesa,89,$,Sandwiches-  Italian-  Vegetarian,270 Bristol St,Costa Mesa,(657) 232-3970
Wild Goose Tavern,https://www.yelp.com/biz/wild-goose-tavern-costa-mesa-2,478,$$,American (New)-  Lounges-  Gastropubs,436 E 17th St,Costa Mesa,(949) 722-9453
Plums Café and Catering,https://www.yelp.com/biz/plums-caf%C3%A9-and-catering-costa-mesa-2,1929,$$,Breakfast & Brunch-  American (New),369 E 17th St,Costa Mesa,(949) 722-7586
Hotties Pizza,https://www.yelp.com/biz/hotties-pizza-costa-mesa,165,$$,Pizza,440 Fair Dr,Costa Mesa,(949) 650-6205
Napa Valley Pizza & Pasta,https://www.yelp.com/biz/napa-valley-pizza-and-pasta-costa-mesa-2,111,$$,Pizza-  Italian,2278 Newport Blvd,Costa Mesa,(949) 574-7522
The Harp Inn,https://www.yelp.com/biz/the-harp-inn-costa-mesa,180,$$,Pubs-  Irish-  Music Venues,130 E 17th St,Costa Mesa,(949) 646-8855
Thai 1 Kitchen,https://www.yelp.com/biz/thai-1-kitchen-costa-mesa-2,161,$,Thai,560 W 19th St,Costa Mesa,(949) 722-7437
Gina’s Pizza & Pastaria,https://www.yelp.com/biz/ginas-pizza-and-pastaria-costa-mesa-2,154,$$,Italian-  Pizza,2701 Harbor Blvd,Costa Mesa,(714) 434-1311
Wahoo’s Fish Tacos,https://www.yelp.com/biz/wahoos-fish-tacos-costa-mesa-2,101,$,Mexican-  Seafood,1862 Placentia Ave,Costa Mesa,(949) 631-3433
Taqueria El Granjenal,https://www.yelp.com/biz/taqueria-el-granjenal-costa-mesa,139,$,Mexican,899 W 19th St,Costa Mesa,(949) 645-4964
Sandwich World,https://www.yelp.com/biz/sandwich-world-costa-mesa-2,79,$,Sandwiches-  Delis,375 Bristol St,Costa Mesa,(714) 545-6963
Sushi Wave,https://www.yelp.com/biz/sushi-wave-costa-mesa,322,$$,Sushi Bars-  Japanese,2075 Newport Blvd,Costa Mesa,(949) 722-8736
Bistro Papillote,https://www.yelp.com/biz/bistro-papillote-costa-mesa,100,$$,French,3313 Hyland Ave,Costa Mesa,(714) 697-1707
Chick-fil-A,https://www.yelp.com/biz/chick-fil-a-costa-mesa-3,156,$,Fast Food,3181 Harbor Blvd,Costa Mesa,(714) 435-0145
Izakaya Hachi,https://www.yelp.com/biz/izakaya-hachi-costa-mesa-2,90,$$,Izakaya-  Sushi Bars-  Beer Bar,3033 Bristol St,Costa Mesa,(657) 231-6566
Jimmy John’s,https://www.yelp.com/biz/jimmy-johns-costa-mesa,59,$,Sandwiches,2800 Harbor Blvd,Costa Mesa,(714) 581-5563
Wingstop,https://www.yelp.com/biz/wingstop-costa-mesa,250,$,Chicken Wings,2300 Harbor Blvd,Costa Mesa,(949) 548-9464
El Matador,https://www.yelp.com/biz/el-matador-costa-mesa,443,$$,Mexican,1768 Newport Blvd,Costa Mesa,(949) 645-0324
Jack’s Fusion Sushi,https://www.yelp.com/biz/jacks-fusion-sushi-costa-mesa,208,$$,Sushi Bars,427 E 17th St,Costa Mesa,(949) 631-0403
Parolli Rolli,https://www.yelp.com/biz/parolli-rolli-costa-mesa,22,$$,Comfort Food-  American (Traditional)-  Food Stands,1712 Santa Ana Ave,Costa Mesa,(949) 612-5124
Mesa,https://www.yelp.com/biz/mesa-costa-mesa,1223,$$,Lounges-  American (New)-  Tapas/Small Plates,725 Baker St,Costa Mesa,(714) 557-6700
D & K Cafe,https://www.yelp.com/biz/d-and-k-cafe-costa-mesa,51,$,Cafes,901 S Coast Dr,Costa Mesa,(714) 957-6191
Ruscello,https://www.yelp.com/biz/ruscello-costa-mesa,57,$$,Mediterranean-  Italian-  Modern European,3333 Bristol St,Costa Mesa,(714) 850-2510
The Hub,https://www.yelp.com/biz/the-hub-costa-mesa-4,247,$$,Sports Bars-  American (Traditional)-  Breakfast & Brunch,1749 Newport Blvd,Costa Mesa,(949) 356-5544
Cucina Roma,https://www.yelp.com/biz/cucina-roma-costa-mesa,156,$$,Italian-  Salad-  Sandwiches,1773 Newport Blvd,Costa Mesa,(949) 645-5550
ARC Restaurant Food & Libations,https://www.yelp.com/biz/arc-restaurant-food-and-libations-costa-mesa,825,$$,American (New)-  Bars,3321 Hyland Ave,Costa Mesa,(949) 500-5561
Great Mex Grill - Costa Mesa,https://www.yelp.com/biz/great-mex-grill-costa-mesa-costa-mesa,130,$,Mexican-  American (Traditional)-  Breakfast & Brunch,1525 E Mesa Verde Dr,Costa Mesa,(714) 241-1120
Menya Keishi,https://www.yelp.com/biz/menya-keishi-costa-mesa,91,$,Ramen-  Noodles,675 Paularino Ave,Costa Mesa,(714) 754-1844
Jan’s Health Bar,https://www.yelp.com/biz/jans-health-bar-costa-mesa-3,173,$$,Juice Bars & Smoothies-  Sandwiches-  Salad,250 E 17th St,Costa Mesa,(949) 650-4856
North Shore Poke Co.,https://www.yelp.com/biz/north-shore-poke-co-costa-mesa-5,255,$$,Hawaiian-  Poke,3033 Bristol St,Costa Mesa,(714) 708-2313
Gypsy Den,https://www.yelp.com/biz/gypsy-den-costa-mesa-3,968,$$,Cafes,2930 Bristol St,Costa Mesa,(714) 549-7012
Jizake Sushi,https://www.yelp.com/biz/jizake-sushi-costa-mesa-4,128,$$,Sushi Bars-  Japanese,488 E 17th St,Costa Mesa,(949) 642-3569
Greenleaf Chopshop,https://www.yelp.com/biz/greenleaf-chopshop-costa-mesa,695,$$,American (New)-  Salad-  Breakfast & Brunch,234 E 17th St,Costa Mesa,(949) 200-3950
Pizzami Buscemi,https://www.yelp.com/biz/pizzami-buscemi-costa-mesa-2,10,$,Food Trucks-  Pizza,Costa Mesa,Costa Mesa,(714) 553-7897
The Cheese Shop at The Mix,https://www.yelp.com/biz/the-cheese-shop-at-the-mix-costa-mesa,145,$$,Cheese Shops-  Sandwiches,3313 Hyland Ave,Costa Mesa,(949) 284-0558
MaDee Thai Kitchen,https://www.yelp.com/biz/madee-thai-kitchen-costa-mesa,420,$,Thai,401 E 17th St,Costa Mesa,(949) 631-2731
Artin Cafe’,https://www.yelp.com/biz/artin-cafe-costa-mesa,20,$,Mediterranean-  Cafes-  Breakfast & Brunch,20048 Santa Ana Ave,Costa Mesa,(657) 266-0355
Water Grill South Coast Plaza,https://www.yelp.com/biz/water-grill-south-coast-plaza-costa-mesa,493,$$$,Seafood,3300 Bristol St,Costa Mesa,(949) 208-7060
NORMS Restaurant,https://www.yelp.com/biz/norms-restaurant-costa-mesa,319,$,American (Traditional),2150 Harbor Blvd,Costa Mesa,(949) 631-0505
Ramen Yamadaya,https://www.yelp.com/biz/ramen-yamadaya-costa-mesa,1327,$$,Ramen-  Noodles,1175 Baker St,Costa Mesa,(714) 556-0091
Din Tai Fung,https://www.yelp.com/biz/din-tai-fung-costa-mesa,2391,$$,Taiwanese-  Chinese-  Noodles,3333 Bristol St,Costa Mesa,(714) 549-3388
Restaurant Marin,https://www.yelp.com/biz/restaurant-marin-costa-mesa,133,$$,American (New)-  Breakfast & Brunch-  Diners,3321 Hyland Ave,Costa Mesa,(949) 402-3974
Al Palace,https://www.yelp.com/biz/al-palace-costa-mesa,246,$,Chinese,270 Bristol St,Costa Mesa,(714) 549-0653
H2O Sushi & Izakaya,https://www.yelp.com/biz/h2o-sushi-and-izakaya-costa-mesa,686,$$,Sushi Bars-  Japanese,1870 Harbor Blvd,Costa Mesa,(949) 515-7400
Costa Mesa 55 Tavern + Bowl,https://www.yelp.com/biz/costa-mesa-55-tavern-bowl-costa-mesa,249,$$,Sports Bars-  American (New)-  Bowling,1875 Newport Blvd,Costa Mesa,(949) 438-2320
Sanukiseimen Mugimaru,https://www.yelp.com/biz/sanukiseimen-mugimaru-costa-mesa,197,$,Japanese,665 Paularino Ave,Costa Mesa,(714) 557-6699
Boathouse Collective,https://www.yelp.com/biz/boathouse-collective-costa-mesa,323,$$,American (New)-  Beer-  Wine & Spirits-  Asian Fusion,1640 Pomona Ave,Costa Mesa,(949) 646-3176
Pie Society,https://www.yelp.com/biz/pie-society-costa-mesa,202,$$,Pizza-  Cocktail Bars,353 E 17th St,Costa Mesa,(949) 313-6335
Boudin SF,https://www.yelp.com/biz/boudin-sf-costa-mesa-3,488,$,Bakeries-  Sandwiches-  Salad,3333 Bristol St,Costa Mesa,(714) 689-2253
Lupita’s Restaurant,https://www.yelp.com/biz/lupitas-restaurant-costa-mesa,29,$,Salvadoran,2180 Harbor Blvd,Costa Mesa,(949) 574-9196
TK Burgers,https://www.yelp.com/biz/tk-burgers-costa-mesa-2,439,$,Burgers,2966 Bristol St,Costa Mesa,(714) 662-2572
Gloria’s Mexican Food,https://www.yelp.com/biz/glorias-mexican-food-costa-mesa-2,51,$,Mexican-  Desserts-  Seafood,731 W 19th St,Costa Mesa,(949) 646-9420
Taco Asylum,https://www.yelp.com/biz/taco-asylum-costa-mesa,1014,$$,Mexican-  American (New),2937 S Bristol St,Costa Mesa,(714) 922-6010
Company 77 Pizza Fire Truck,https://www.yelp.com/biz/company-77-pizza-fire-truck-irvine,39,$$$$,Pizza- Food Trucks,na,Irvine,(949) 282-9178
S’wich Bistro,https://www.yelp.com/biz/swich-bistro-irvine-5,95,$,Breakfast & Brunch- Burgers- Sandwiches,16277 Laguna Canyon Rd,Irvine,(949) 753-0227
The Burnt Truck,https://www.yelp.com/biz/the-burnt-truck-irvine-4,745,$,Food Trucks- American (Traditional)- Asian Fusion,Irvine,Irvine,(949) 421-8900
The Stand,https://www.yelp.com/biz/the-stand-irvine,177,$$,American (New)- Burgers,5633 Alton Pkwy,Irvine,(949) 262-9090
Falasophy,https://www.yelp.com/biz/falasophy-irvine-4,140,$,Food Trucks- Falafel,16221 Construction Cir,Irvine,(949) 345-5018
Square One Pizza Cafe,https://www.yelp.com/biz/square-one-pizza-cafe-irvine,248,$$,Pizza- Italian- Salad,5789 Alton Pkwy,Irvine,(949) 451-1750
Dogzilla,https://www.yelp.com/biz/dogzilla-irvine,594,$,Hot Dogs- Food Trucks,16221 Construction Cir W,Irvine,(714) 805-8857
Miyabi Shabu,https://www.yelp.com/biz/miyabi-shabu-irvine-2,555,$$,Japanese- Hot Pot,15435 Jeffrey Rd,Irvine,(949) 551-0200
California Fish Grill,https://www.yelp.com/biz/california-fish-grill-irvine,2302,$$,Seafood,3988 Barranca Pkwy,Irvine,(949) 654-3838
Mooyah,https://www.yelp.com/biz/mooyah-irvine-2,290,$$,Burgers- American (Traditional),5365 Alton Pkwy,Irvine,(949) 333-3758
MOD Pizza,https://www.yelp.com/biz/mod-pizza-irvine-2,601,$,Pizza,3965 Alton Pkwy,Irvine,(949) 265-7770
Burntzilla,https://www.yelp.com/biz/burntzilla-irvine,913,$,Hot Dogs- Burgers- American (Traditional),14413 Culver Dr,Irvine,(949) 392-5995
CAVA,https://www.yelp.com/biz/cava-irvine,209,$$,Mediterranean,3972 Barranca Pkwy,Irvine,(949) 200-7998
7 Leaves Cafe,https://www.yelp.com/biz/7-leaves-cafe-irvine,332,$,Coffee & Tea- Cafes,14845 Jeffrey Rd,Irvine,(949) 536-5380
Gyritto Truck,https://www.yelp.com/biz/gyritto-truck-irvine-2,78,$,Food Trucks- Mediterranean- Halal,Irvine,Irvine,(949) 878-6611
Crazy Rock’N Sushi,https://www.yelp.com/biz/crazy-rockn-sushi-irvine,234,$$,Sushi Bars- Japanese,5365 Alton Pkwy,Irvine,(949) 551-3599
Urban Plates,https://www.yelp.com/biz/urban-plates-irvine,1340,$$,American (New)- Salad- Sandwiches,3972 Barranca Pkwy,Irvine,(949) 387-2600
The Cut,https://www.yelp.com/biz/the-cut-irvine,136,$$,Food Trucks- Burgers- American (Traditional),Irvine,Irvine,(949) 877-4707
North Italia,https://www.yelp.com/biz/north-italia-irvine,1067,$$,Pizza- Italian,2957 Michelson Dr,Irvine,(949) 629-7060
Mr Sandwich,https://www.yelp.com/biz/mr-sandwich-irvine,139,$,Sandwiches,92 Corporate Park,Irvine,(949) 553-1612
Philly’s Best,https://www.yelp.com/biz/phillys-best-irvine,322,$,Sandwiches- Cheesesteaks,4250 Barranca Pkwy,Irvine,(949) 857-2448
Le Diplomate Cafe,https://www.yelp.com/biz/le-diplomate-cafe-irvine,1597,$,Bakeries- Sandwiches- Cafes,na,Irvine,(949) 854-5161
Ha Long Vietnamese Cuisine,https://www.yelp.com/biz/ha-long-vietnamese-cuisine-irvine,558,$,Vietnamese- Sandwiches- Noodles,3850 D Barranca Pkwy,Irvine,(949) 654-3736
Mokkoji Shabu Shabu Bar,https://www.yelp.com/biz/mokkoji-shabu-shabu-bar-irvine,927,$$,Japanese- Hot Pot,14041 Jeffrey Rd,Irvine,(949) 451-0011
Kogi- Naranja,https://www.yelp.com/biz/kogi-naranja-irvine,731,$,Korean- Food Trucks- Asian Fusion,Irvine,Irvine,na
Bruxie,https://www.yelp.com/biz/bruxie-irvine,1117,$,Sandwiches- Breakfast & Brunch- Waffles,14376 Culver Dr,Irvine,(949) 556-4894
Stacks Pancake House,https://www.yelp.com/biz/stacks-pancake-house-irvine-2,406,$$,Breakfast & Brunch- Salad- Burgers,14421 Culver Dr,Irvine,(949) 679-1233
In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-irvine,540,$,Burgers- Fast Food,na,Irvine,(800) 786-1000
Pokéworks,https://www.yelp.com/biz/pok%C3%A9works-irvine-7,232,$$,Poke- Hawaiian- Seafood,15333 Culver Dr,Irvine,(949) 629-3875
Luna Grill Westpark,https://www.yelp.com/biz/luna-grill-westpark-irvine,313,$$,Mediterranean- Greek,3965 Alton Pkwy,Irvine,(949) 654-5862
A & J Restaurant,https://www.yelp.com/biz/a-and-j-restaurant-irvine,1434,$,Chinese- Taiwanese,na,Irvine,(949) 786-3585
Ruth’s Chris Steak House,https://www.yelp.com/biz/ruths-chris-steak-house-irvine-2,1167,$$$,Steakhouses,2961 Michelson Dr,Irvine,(949) 252-8848
Pho Ba Co,https://www.yelp.com/biz/pho-ba-co-irvine,849,$,Vietnamese- Noodles,4250 Barranca Pkwy,Irvine,(949) 857-8808
Kingchops,https://www.yelp.com/biz/kingchops-irvine,274,$,Taiwanese- Chinese,15435 Jeffrey Rd,Irvine,(949) 303-5344
Nekter Juice Bar,https://www.yelp.com/biz/nekter-juice-bar-irvine,216,$$,Juice Bars & Smoothies- Gluten-Free- Acai Bowls,6793 Quail Hill Pkwy,Irvine,(949) 566-8851
Hokkaido Ramen Santouka,https://www.yelp.com/biz/hokkaido-ramen-santouka-irvine,496,$$,Ramen- Noodles,14230 Culver Dr,Irvine,(949) 733-1101
Nostimo Greek Mediterranean Cuisine Food Truck,https://www.yelp.com/biz/nostimo-greek-mediterranean-cuisine-food-truck-irvine,40,$,Mediterranean- Greek- Food Trucks,16221 Construction Cir W,Irvine,(714) 829-0290
Clay Oven Cuisine Of India,https://www.yelp.com/biz/clay-oven-cuisine-of-india-irvine,421,$$,Indian,15435 Jeffrey Rd,Irvine,(949) 552-2851
Annapoorna Indian Cuisines,https://www.yelp.com/biz/annapoorna-indian-cuisines-irvine,758,$$,Indian,na,Irvine,(949) 651-1144
Capital Noodle Bar,https://www.yelp.com/biz/capital-noodle-bar-irvine,496,$$,Noodles,3850 Barranca Pkwy,Irvine,(949) 651-8088
